datetime,temp
12/1/2014,16.00
12/2/2014,14.10
12/3/2014,13.30
12/4/2014,13.20
12/5/2014,15.20
12/6/2014,14.80
12/7/2014,13.40
12/8/2014,13.20
12/9/2014,13.30
12/10/2014,12.50
12/11/2014,13.50
12/12/2014,14.00
12/13/2014,15.20
12/14/2014,14.20
12/15/2014,15.60
12/16/2014,15.00
12/17/2014,14.70
12/18/2014,14.70
12/19/2014,16.40
12/20/2014,14.90
12/21/2014,15.80
12/22/2014,13.70
12/23/2014,14.30
12/24/2014,11.50
12/25/2014,11.50
12/26/2014,14.60
12/27/2014,14.80
12/28/2014,14.20
12/29/2014,15.10
12/30/2014,16.60
12/31/2014,14.00
1/1/2015,13.40
1/2/2015,14.40
1/3/2015,14.20
1/4/2015,13.20
1/5/2015,10.30
1/6/2015,11.20
1/7/2015,14.70
1/8/2015,13.20
1/9/2015,11.90
1/10/2015,12.80
1/11/2015,13.90
1/12/2015,13.60
1/13/2015,14.40
1/14/2015,14.10
1/15/2015,15.10
1/16/2015,15.50
1/17/2015,15.40
1/18/2015,14.30
1/19/2015,13.70
1/20/2015,15.80
1/21/2015,15.30
1/22/2015,17.90
1/23/2015,14.00
1/24/2015,14.50
1/25/2015,15.50
1/26/2015,15.00
1/27/2015,14.80
1/28/2015,15.40
1/29/2015,14.20
1/30/2015,12.90
1/31/2015,13.00
2/1/2015,12.40
2/2/2015,12.80
2/3/2015,14.60
2/4/2015,15.20
2/5/2015,15.60
2/6/2015,12.50
2/7/2015,13.40
2/8/2015,14.60
2/9/2015,13.40
2/10/2015,14.30
2/11/2015,15.20
2/12/2015,13.30
2/13/2015,13.80
2/14/2015,13.10
2/15/2015,14.20
2/16/2015,15.50
2/17/2015,15.90
2/18/2015,17.30
2/19/2015,17.90
2/20/2015,17.60
2/21/2015,18.70
2/22/2015,18.60
2/23/2015,18.30
2/24/2015,17.40
2/25/2015,17.80
2/26/2015,16.30
2/27/2015,17.60
2/28/2015,15.40
3/1/2015,16.30
3/2/2015,17.60
3/3/2015,17.50
3/4/2015,18.30
3/5/2015,19.00
3/6/2015,15.50
3/7/2015,15.40
3/8/2015,16.80
3/9/2015,16.60
3/10/2015,15.30
3/11/2015,13.50
3/12/2015,13.60
3/13/2015,15.90
3/14/2015,14.00
3/15/2015,12.70
3/16/2015,15.60
3/17/2015,18.70
3/18/2015,18.20
3/19/2015,19.10
3/20/2015,18.20
3/21/2015,17.80
3/22/2015,17.80
3/23/2015,17.20
3/24/2015,16.40
3/25/2015,17.70
3/26/2015,17.00
3/27/2015,15.60
3/28/2015,13.70
3/29/2015,15.60
3/30/2015,17.10
3/31/2015,18.70
4/1/2015,17.60
4/2/2015,17.90
4/3/2015,18.90
4/4/2015,19.80
4/5/2015,19.10
4/6/2015,18.90
4/7/2015,18.80
4/8/2015,18.70
4/9/2015,20.10
4/10/2015,20.00
4/11/2015,17.30
4/12/2015,18.00
4/13/2015,19.00
4/14/2015,21.00
4/15/2015,18.90
4/16/2015,21.20
4/17/2015,18.40
4/18/2015,19.70
4/19/2015,19.50
4/20/2015,21.90
4/21/2015,22.30
4/22/2015,21.50
4/23/2015,22.40
4/24/2015,21.20
4/25/2015,22.10
4/26/2015,20.50
4/27/2015,19.50
4/28/2015,20.90
4/29/2015,16.40
4/30/2015,17.00
5/1/2015,16.30
5/2/2015,17.30
5/3/2015,18.70
5/4/2015,18.50
5/5/2015,18.40
5/6/2015,18.90
5/7/2015,18.60
5/8/2015,19.60
5/9/2015,20.50
5/10/2015,21.30
5/11/2015,21.30
5/12/2015,18.30
5/13/2015,17.70
5/14/2015,18.30
5/15/2015,18.00
5/16/2015,17.00
5/17/2015,18.70
5/18/2015,20.00
5/19/2015,19.60
5/20/2015,19.60
5/21/2015,18.60
5/22/2015,16.20
5/23/2015,17.60
5/24/2015,17.10
5/25/2015,17.30
5/26/2015,19.30
5/27/2015,18.20
5/28/2015,17.70
5/29/2015,17.70
5/30/2015,15.60
5/31/2015,14.70
6/1/2015,16.30
6/2/2015,17.30
6/3/2015,17.50
6/4/2015,18.70
6/5/2015,18.10
6/6/2015,17.60
6/7/2015,18.70
6/8/2015,19.00
6/9/2015,18.60
6/10/2015,19.40
6/11/2015,19.90
6/12/2015,18.80
6/13/2015,18.30
6/14/2015,17.70
6/15/2015,17.70
6/16/2015,19.70
6/17/2015,19.10
6/18/2015,16.90
6/19/2015,17.50
6/20/2015,17.70
6/21/2015,17.60
6/22/2015,18.90
6/23/2015,18.70
6/24/2015,17.80
6/25/2015,18.30
6/26/2015,17.70
6/27/2015,16.80
6/28/2015,17.30
6/29/2015,17.00
6/30/2015,17.00
7/1/2015,16.70
7/2/2015,15.80
7/3/2015,17.40
7/4/2015,17.70
7/5/2015,17.40
7/6/2015,16.20
7/7/2015,18.00
7/8/2015,17.50
7/9/2015,16.60
7/10/2015,16.20
7/11/2015,17.70
7/12/2015,17.00
7/13/2015,17.80
7/14/2015,18.00
7/15/2015,19.50
7/16/2015,17.30
7/17/2015,17.50
7/18/2015,17.20
7/19/2015,18.00
7/20/2015,17.20
7/21/2015,17.60
7/22/2015,17.90
7/23/2015,18.10
7/24/2015,17.40
7/25/2015,18.70
7/26/2015,19.90
7/27/2015,20.50
7/28/2015,18.60
7/29/2015,20.00
7/30/2015,20.10
7/31/2015,19.10
8/1/2015,17.60
8/2/2015,18.20
8/3/2015,19.00
8/4/2015,19.00
8/5/2015,18.50
8/6/2015,18.70
8/7/2015,18.20
8/8/2015,19.50
8/9/2015,18.90
8/10/2015,19.60
8/11/2015,17.50
8/12/2015,17.40
8/13/2015,16.80
8/14/2015,17.80
8/15/2015,18.00
8/16/2015,18.30
8/17/2015,16.80
8/18/2015,17.20
8/19/2015,18.00
8/20/2015,17.40
8/21/2015,17.10
8/22/2015,17.90
8/23/2015,17.00
8/24/2015,19.50
8/25/2015,18.30
8/26/2015,18.10
8/27/2015,17.30
8/28/2015,17.00
8/29/2015,17.50
8/30/2015,17.80
8/31/2015,16.30
9/1/2015,17.40
9/2/2015,17.60
9/3/2015,17.30
9/4/2015,17.00
9/5/2015,17.80
9/6/2015,18.40
9/7/2015,19.00
9/8/2015,18.30
9/9/2015,18.10
9/10/2015,17.80
9/11/2015,18.40
9/12/2015,18.70
9/13/2015,17.80
9/14/2015,17.00
9/15/2015,18.00
9/16/2015,16.40
9/17/2015,17.20
9/18/2015,17.70
9/19/2015,17.80
9/20/2015,17.70
9/21/2015,18.00
9/22/2015,17.30
9/23/2015,17.30
9/24/2015,17.40
9/25/2015,17.10
9/26/2015,14.60
9/27/2015,15.90
9/28/2015,14.00
9/29/2015,14.70
9/30/2015,15.60
10/1/2015,15.80
10/2/2015,15.20
10/3/2015,14.60
10/4/2015,16.70
10/5/2015,18.50
10/6/2015,17.50
10/7/2015,17.60
10/8/2015,17.70
10/9/2015,17.90
10/10/2015,17.80
10/11/2015,18.10
10/12/2015,18.20
10/13/2015,18.10
10/14/2015,17.20
10/15/2015,17.20
10/16/2015,16.10
10/17/2015,14.60
10/18/2015,15.00
10/19/2015,15.40
10/20/2015,16.30
10/21/2015,16.70
10/22/2015,17.60
10/23/2015,17.90
10/24/2015,18.50
10/25/2015,18.30
10/26/2015,16.60
10/27/2015,18.40
10/28/2015,16.40
10/29/2015,17.10
10/30/2015,16.20
10/31/2015,16.40
11/1/2015,17.10
11/2/2015,17.00
11/3/2015,17.80
11/4/2015,17.10
11/5/2015,16.80
11/6/2015,16.70
11/7/2015,17.40
11/8/2015,15.90
11/9/2015,16.70
11/10/2015,17.80
11/11/2015,18.60
11/12/2015,17.40
11/13/2015,16.00
11/14/2015,15.20
11/15/2015,14.50
11/16/2015,16.50
11/17/2015,18.30
11/18/2015,17.50
11/19/2015,17.20
11/20/2015,16.90
11/21/2015,16.70
11/22/2015,15.80
11/23/2015,15.30
11/24/2015,15.70
11/25/2015,17.90
11/26/2015,16.70
11/27/2015,15.40
11/28/2015,17.00
11/29/2015,16.90
11/30/2015,16.00
12/1/2015,15.50
12/2/2015,16.50
12/3/2015,14.30
12/4/2015,14.40
12/5/2015,13.70
12/6/2015,12.10
12/7/2015,14.60
12/8/2015,13.00
12/9/2015,15.10
12/10/2015,15.20
12/11/2015,15.60
12/12/2015,15.50
12/13/2015,14.90
12/14/2015,14.80
12/15/2015,15.50
12/16/2015,16.10
12/17/2015,16.00
12/18/2015,13.20
12/19/2015,15.00
12/20/2015,14.10
12/21/2015,16.30
12/22/2015,14.90
12/23/2015,16.60
12/24/2015,15.20
12/25/2015,16.20
12/26/2015,15.60
12/27/2015,16.20
12/28/2015,15.60
12/29/2015,16.50
12/30/2015,16.60
12/31/2015,16.90
1/1/2016,16.20
1/2/2016,17.70
1/3/2016,18.10
1/4/2016,13.50
1/5/2016,13.50
1/6/2016,14.70
1/7/2016,14.40
1/8/2016,13.50
1/9/2016,14.30
1/10/2016,14.10
1/11/2016,13.70
1/12/2016,12.10
1/13/2016,10.10
1/14/2016,12.60
1/15/2016,13.80
1/16/2016,12.40
1/17/2016,13.80
1/18/2016,12.10
1/19/2016,12.00
1/20/2016,13.80
1/21/2016,14.90
1/22/2016,14.20
1/23/2016,13.10
1/24/2016,12.80
1/25/2016,13.90
1/26/2016,14.60
1/27/2016,14.30
1/28/2016,10.90
1/29/2016,11.50
1/30/2016,13.50
1/31/2016,16.20
2/1/2016,16.40
2/2/2016,18.40
2/3/2016,17.60
2/4/2016,15.20
2/5/2016,14.60
2/6/2016,14.90
2/7/2016,13.20
2/8/2016,13.80
2/9/2016,11.40
2/10/2016,12.10
2/11/2016,12.40
2/12/2016,13.90
2/13/2016,11.90
2/14/2016,14.10
2/15/2016,16.90
2/16/2016,16.70
2/17/2016,15.50
2/18/2016,15.20
2/19/2016,16.30
2/20/2016,16.40
2/21/2016,17.70
2/22/2016,18.20
2/23/2016,19.10
2/24/2016,17.30
2/25/2016,16.90
2/26/2016,17.20
2/27/2016,15.30
2/28/2016,17.20
2/29/2016,16.50
3/1/2016,16.10
3/2/2016,12.70
3/3/2016,15.20
3/4/2016,14.10
3/5/2016,15.40
3/6/2016,16.40
3/7/2016,18.00
3/8/2016,16.20
3/9/2016,13.00
3/10/2016,12.50
3/11/2016,12.10
3/12/2016,14.30
3/13/2016,17.40
3/14/2016,18.10
3/15/2016,19.30
3/16/2016,19.30
3/17/2016,18.30
3/18/2016,18.10
3/19/2016,18.30
3/20/2016,16.30
3/21/2016,14.90
3/22/2016,16.20
3/23/2016,18.40
3/24/2016,19.50
3/25/2016,19.40
3/26/2016,20.00
3/27/2016,21.70
3/28/2016,21.80
3/29/2016,20.50
3/30/2016,20.10
3/31/2016,21.00
4/1/2016,21.10
4/2/2016,20.80
4/3/2016,19.30
4/4/2016,19.70
4/5/2016,21.00
4/6/2016,20.80
4/7/2016,21.50
4/8/2016,20.80
4/9/2016,19.80
4/10/2016,20.40
4/11/2016,21.80
4/12/2016,21.00
4/13/2016,22.30
4/14/2016,21.20
4/15/2016,20.90
4/16/2016,21.50
4/17/2016,21.60
4/18/2016,20.40
4/19/2016,18.00
4/20/2016,16.50
4/21/2016,17.20
4/22/2016,15.80
4/23/2016,17.40
4/24/2016,19.30
4/25/2016,18.80
4/26/2016,20.00
4/27/2016,20.20
4/28/2016,21.30
4/29/2016,20.90
4/30/2016,20.70
5/1/2016,21.50
5/2/2016,23.10
5/3/2016,21.70
5/4/2016,21.90
5/5/2016,21.60
5/6/2016,21.70
5/7/2016,21.70
5/8/2016,22.40
5/9/2016,21.60
5/10/2016,20.90
5/11/2016,20.90
5/12/2016,19.30
5/13/2016,19.10
5/14/2016,19.30
5/15/2016,17.60
5/16/2016,20.20
5/17/2016,20.30
5/18/2016,20.50
5/19/2016,21.60
5/20/2016,22.60
5/21/2016,21.60
5/22/2016,21.50
5/23/2016,21.30
5/24/2016,21.50
5/25/2016,22.10
5/26/2016,20.50
5/27/2016,20.00
5/28/2016,19.50
5/29/2016,19.90
5/30/2016,20.90
5/31/2016,19.60
6/1/2016,18.90
6/2/2016,18.30
6/3/2016,18.30
6/4/2016,18.70
6/5/2016,17.90
6/6/2016,17.20
6/7/2016,18.20
6/8/2016,18.40
6/9/2016,18.70
6/10/2016,19.10
6/11/2016,18.10
6/12/2016,18.50
6/13/2016,18.40
6/14/2016,18.90
6/15/2016,19.70
6/16/2016,20.10
6/17/2016,18.90
6/18/2016,18.70
6/19/2016,17.90
6/20/2016,18.00
6/21/2016,17.20
6/22/2016,17.60
6/23/2016,17.30
6/24/2016,17.50
6/25/2016,19.10
6/26/2016,18.10
6/27/2016,18.00
6/28/2016,18.10
6/29/2016,17.80
6/30/2016,17.20
7/1/2016,17.10
7/2/2016,18.70
7/3/2016,19.00
7/4/2016,18.30
7/5/2016,18.40
7/6/2016,17.80
7/7/2016,18.90
7/8/2016,19.50
7/9/2016,19.90
7/10/2016,18.50
7/11/2016,16.80
7/12/2016,17.20
7/13/2016,17.70
7/14/2016,17.70
7/15/2016,18.60
7/16/2016,18.20
7/17/2016,18.30
7/18/2016,18.20
7/19/2016,19.10
7/20/2016,18.00
7/21/2016,18.60
7/22/2016,17.60
7/23/2016,18.70
7/24/2016,18.70
7/25/2016,18.30
7/26/2016,18.00
7/27/2016,18.10
7/28/2016,17.60
7/29/2016,18.00
7/30/2016,17.60
7/31/2016,17.80
8/1/2016,18.10
8/2/2016,17.80
8/3/2016,19.30
8/4/2016,19.40
8/5/2016,18.70
8/6/2016,17.00
8/7/2016,17.80
8/8/2016,17.60
8/9/2016,18.90
8/10/2016,18.60
8/11/2016,19.20
8/12/2016,18.70
8/13/2016,18.00
8/14/2016,19.40
8/15/2016,18.30
8/16/2016,17.70
8/17/2016,17.90
8/18/2016,19.40
8/19/2016,18.10
8/20/2016,17.60
8/21/2016,16.70
8/22/2016,17.10
8/23/2016,16.90
8/24/2016,16.60
8/25/2016,16.60
8/26/2016,17.00
8/27/2016,17.00
8/28/2016,18.70
8/29/2016,19.10
8/30/2016,18.50
8/31/2016,18.30
9/1/2016,17.50
9/2/2016,17.90
9/3/2016,17.40
9/4/2016,16.10
9/5/2016,16.90
9/6/2016,17.90
9/7/2016,17.10
9/8/2016,17.40
9/9/2016,17.50
9/10/2016,18.30
9/11/2016,17.60
9/12/2016,17.70
9/13/2016,18.00
9/14/2016,17.60
9/15/2016,18.00
9/16/2016,18.10
9/17/2016,17.40
9/18/2016,18.30
9/19/2016,18.80
9/20/2016,16.30
9/21/2016,15.50
9/22/2016,16.40
9/23/2016,16.50
9/24/2016,16.30
9/25/2016,16.60
9/26/2016,17.10
9/27/2016,16.40
9/28/2016,16.40
9/29/2016,16.70
9/30/2016,16.30
10/1/2016,16.40
10/2/2016,16.60
10/3/2016,18.30
10/4/2016,18.90
10/5/2016,18.50
10/6/2016,18.00
10/7/2016,17.30
10/8/2016,16.70
10/9/2016,15.50
10/10/2016,15.80
10/11/2016,16.60
10/12/2016,17.70
10/13/2016,18.60
10/14/2016,16.20
10/15/2016,16.90
10/16/2016,17.00
10/17/2016,17.20
10/18/2016,17.00
10/19/2016,17.60
10/20/2016,16.00
10/21/2016,15.50
10/22/2016,15.50
10/23/2016,16.60
10/24/2016,17.20
10/25/2016,15.20
10/26/2016,14.50
10/27/2016,13.30
10/28/2016,12.00
10/29/2016,13.10
10/30/2016,12.50
10/31/2016,15.40
11/1/2016,14.90
11/2/2016,17.00
11/3/2016,16.70
11/4/2016,16.20
11/5/2016,14.60
11/6/2016,17.00
11/7/2016,16.60
11/8/2016,15.60
11/9/2016,13.70
11/10/2016,12.90
11/11/2016,13.70
11/12/2016,15.20
11/13/2016,14.60
11/14/2016,14.50
11/15/2016,16.00
11/16/2016,12.70
11/17/2016,14.10
11/18/2016,15.60
11/19/2016,12.10
11/20/2016,12.20
11/21/2016,12.20
11/22/2016,13.20
11/23/2016,14.10
11/24/2016,13.10
11/25/2016,12.50
11/26/2016,12.20
11/27/2016,11.80
11/28/2016,13.60
11/29/2016,15.50
11/30/2016,16.70
12/1/2016,15.80
12/2/2016,15.50
12/3/2016,16.70
12/4/2016,16.20
12/5/2016,15.80
12/6/2016,14.40
12/7/2016,15.30
