datetime,temp
12/1/2014,16
12/2/2014,14.1
12/3/2014,13.3
12/4/2014,13.2
12/5/2014,15.2
12/6/2014,14.8
12/7/2014,13.4
12/8/2014,13.2
12/9/2014,13.3
12/10/2014,12.5
12/11/2014,13.5
12/12/2014,14
12/13/2014,15.2
12/14/2014,14.2
12/15/2014,15.6
12/16/2014,15
12/17/2014,14.7
12/18/2014,14.7
12/19/2014,16.4
12/20/2014,14.9
12/21/2014,15.8
12/22/2014,13.7
12/23/2014,14.3
12/24/2014,11.5
12/25/2014,11.5
12/26/2014,14.6
12/27/2014,14.8
12/28/2014,14.2
12/29/2014,15.1
12/30/2014,16.6
12/31/2014,14
1/1/2015,13.4
1/2/2015,14.4
1/3/2015,14.2
1/4/2015,13.2
1/5/2015,10.3
1/6/2015,11.2
1/7/2015,14.7
1/8/2015,13.2
1/9/2015,11.9
1/10/2015,12.8
1/11/2015,13.9
1/12/2015,13.6
1/13/2015,14.4
1/14/2015,14.1
1/15/2015,15.1
1/16/2015,15.5
1/17/2015,15.4
1/18/2015,14.3
1/19/2015,13.7
1/20/2015,15.8
1/21/2015,15.3
1/22/2015,17.9
1/23/2015,14
1/24/2015,14.5
1/25/2015,15.5
1/26/2015,15
1/27/2015,14.8
1/28/2015,15.4
1/29/2015,14.2
1/30/2015,12.9
1/31/2015,13
2/1/2015,12.4
2/2/2015,12.8
2/3/2015,14.6
2/4/2015,15.2
2/5/2015,15.6
2/6/2015,12.5
2/7/2015,13.4
2/8/2015,14.6
2/9/2015,13.4
2/10/2015,14.3
2/11/2015,15.2
2/12/2015,13.3
2/13/2015,13.8
2/14/2015,13.1
2/15/2015,14.2
2/16/2015,15.5
2/17/2015,15.9
2/18/2015,17.3
2/19/2015,17.9
2/20/2015,17.6
2/21/2015,18.7
2/22/2015,18.6
2/23/2015,18.3
2/24/2015,17.4
2/25/2015,17.8
2/26/2015,16.3
2/27/2015,17.6
2/28/2015,15.4
3/1/2015,16.3
3/2/2015,17.6
3/3/2015,17.5
3/4/2015,18.3
3/5/2015,19
3/6/2015,15.5
3/7/2015,15.4
3/8/2015,16.8
3/9/2015,16.6
3/10/2015,15.3
3/11/2015,13.5
3/12/2015,13.6
3/13/2015,15.9
3/14/2015,14
3/15/2015,12.7
3/16/2015,15.6
3/17/2015,18.7
3/18/2015,18.2
3/19/2015,19.1
3/20/2015,18.2
3/21/2015,17.8
3/22/2015,17.8
3/23/2015,17.2
3/24/2015,16.4
3/25/2015,17.7
3/26/2015,17
3/27/2015,15.6
3/28/2015,13.7
3/29/2015,15.6
3/30/2015,17.1
3/31/2015,18.7
4/1/2015,17.6
4/2/2015,17.9
4/3/2015,18.9
4/4/2015,19.8
4/5/2015,19.1
4/6/2015,18.9
4/7/2015,18.8
4/8/2015,18.7
4/9/2015,20.1
4/10/2015,20
4/11/2015,17.3
4/12/2015,18
4/13/2015,19
4/14/2015,21
4/15/2015,18.9
4/16/2015,21.2
4/17/2015,18.4
4/18/2015,19.7
4/19/2015,19.5
